iter,train_loss,val_loss,val_perplexity,lr,elapsed_min,tokens_seen,tokens_per_sec,peak_vram_mb,param_count,approx_train_pflops
0,10.88565351486206,10.884944610595703,53366.82678179651,2.9999999999999997e-06,0.061144288380940756,0,0.0,6434.833984375,19242400,0.0
150,7.029947891235351,7.116086254119873,1231.620737941023,0.00029910398990978706,0.3310643355051676,2457600,123722.17604623451,11181.994140625,19242400,0.28374073344
300,6.434782800674438,6.484718360900879,655.0544493120111,0.00028588806367609465,0.5940548102060954,4915200,137899.73348011356,11181.994140625,19242400,0.56748146688
450,6.19130723953247,6.268924007415771,527.909045953459,0.00025826271631908303,0.8231365005175273,7372800,149282.6522973312,11181.994140625,19242400,0.85122220032
600,5.97678656578064,6.081622714996338,437.738944251361,0.000219328432824252,1.08319966395696,9830400,151255.5860675655,11181.994140625,19242400,1.13496293376
750,5.840286369323731,5.944687252044678,381.71996049031185,0.00017345493784472134,1.3492804805437724,12288000,151784.60146215392,11181.994140625,19242400,1.4187036672
900,5.73792350769043,5.847679653167725,346.4296103179544,0.00012579076691122517,1.5987571756045023,14745600,153719.4038907605,11181.994140625,19242400,1.70244440064
1050,5.658723955154419,5.779423875808716,323.57271863610265,8.168542909656456e-05,1.867881417274475,17203200,153500.10838395104,11181.994140625,19242400,1.98618513408
1200,5.616520557403565,5.738128414154053,310.48277169633104,4.608901374830577e-05,2.117274220784505,19660800,154765.02608083806,11181.994140625,19242400,2.26992586752
1350,5.580262670516968,5.722979745864868,305.8148170936761,2.299662543105762e-05,2.3607194383939105,22118400,156155.78624234998,11181.994140625,19242400,2.55366660096
1500,5.578115863800049,5.739890289306641,311.03028576116975,1.4999999999999999e-05,2.606155526638031,24576000,157166.36855068602,11181.994140625,19242400,2.8374073344
